symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
JSWSTEEL,Bearish,🔴,Short Build-Up,-28.6,87,0.74,0.77,1300.0,1400.0,312520,47255,3.13,0.47,313195,45230,"-8.5 Moderate Call Writing (ATM zone) | -1.2 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+3.13L CE vs +0.47L PE, 6.6x) | -2.7 ATM±5 zone raw flow: CE +3.13L vs PE +0.45L (institutional tilt Call-heavy)"
HINDUNILVR,Bearish,🔴,Short Build-Up,-31.0,88,0.66,0.69,2000.0,2100.0,427200,80100,4.27,0.8,339900,63600,"-10.8 Moderate Call Writing (ATM zone) | -1.2 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+4.27L CE vs +0.80L PE, 5.3x) | -2.8 ATM±5 zone raw flow: CE +3.40L vs PE +0.64L (institutional tilt Call-heavy)"
INDIGO,Bullish,🟢,Bullish OI Bias (Dual Build-Up),58.3,95,0.76,0.65,5000.0,5200.0,379800,559050,3.8,5.59,367200,548550,"+28.5 Strong Put Writing (ATM zone) | +6.3 Full-chain confirmation (Put-heavy) | +4.4 PCR improving | +8.0 Max Pain above spot | +5.0 Volume favors Puts | +4.3 Full-chain Dual Build-Up is Put-heavy (+5.59L PE vs +3.80L CE, 1.5x) | +1.8 ATM±5 zone raw flow: CE +3.67L vs PE +5.49L (institutional tilt Put-heavy)"
NTPC,Bearish Lean,🟧,Bearish Lean,-7.6,68,0.45,0.45,340.0,340.0,690000,285000,6.9,2.85,387000,247500,"+0.5 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.7 Full-chain Dual Build-Up is Call-heavy (+6.90L CE vs +2.85L PE, 2.4x) | -1.4 ATM±5 zone raw flow: CE +3.87L vs PE +2.48L (institutional tilt Call-heavy)"
INOXWIND,Bullish Lean,🟩,Bullish Lean (Fresh Put Writing),8.3,75,0.57,0.56,75.0,75.0,723200,652800,7.23,6.53,454400,659200,+2.6 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +2.0 ATM±5 zone raw flow: CE +4.54L vs PE +6.59L (institutional tilt Put-heavy)
POWERGRID,Neutral,⚪,Neutral / Mixed Positioning,2.9,65,0.66,0.65,270.0,290.0,955700,731500,9.56,7.32,518700,680200,"+0.6 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -2.9 Full-chain Dual Build-Up is Call-heavy (+9.56L CE vs +7.32L PE, 1.3x) | +1.6 ATM±5 zone raw flow: CE +5.19L vs PE +6.80L (institutional tilt Put-heavy)"
AMBUJACEM,Bearish,🟠,Long Unwinding,-23.4,85,0.67,0.72,400.0,410.0,578400,-212400,5.78,-2.12,524400,-216000,-16.0 Moderate Call Writing (ATM zone) | -2.4 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +5.24L vs PE -2.16L (institutional tilt Call-heavy)
BANKINDIA,Bearish Lean,🟧,Bearish Lean,-7.8,75,0.77,0.78,140.0,155.0,504400,-46800,5.04,-0.47,530400,-46800,-4.1 Moderate Call Writing (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.8 ATM±5 zone raw flow: CE +5.30L vs PE -0.47L (institutional tilt Call-heavy)
BANKBARODA,Bearish Lean,🟧,Bearish Lean,-7.1,75,0.88,0.89,235.0,250.0,485540,-216430,4.86,-2.16,576220,-204730,-3.2 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +5.76L vs PE -2.05L (institutional tilt Call-heavy)
UNOMINDA,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-73.5,91,0.45,0.57,1280.0,1300.0,681450,204050,6.81,2.04,609400,198550,"-44.0 Strong Call Writing (ATM zone) | -10.3 Full-chain confirmation (Call-heavy) | -4.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.3 Full-chain Dual Build-Up is Call-heavy (+6.81L CE vs +2.04L PE, 3.3x) | -4.1 ATM±5 zone raw flow: CE +6.09L vs PE +1.99L (institutional tilt Call-heavy)"
